Nome;Numero;Ano;DataNascimento;Email;Telemovel;CodigoPostal
Micael Alexandre Tavares dos Santos;1010799;2;29-03-1995 10:33;micael@gmail.com;943955726;4300-258
Nuno Bill Afonso Silva;1012377;2;19-01-1992 00:57;nuno@sal.ipg.pt;916871403;9400-690
Nuno Clodic Carvalho Lima;1011577;2;18-03-1991 00:57;nuno@gmail.com;953772871;8900-964
Pedro Filipe de Melo Pinto;1012590;2;27-09-1989 00:57;pedro@hotmail.com;942843502;9200-884
Pedro Miguel Alves Ferreira;1011692;2;09-12-1992 22:05;pedro@hotmail.com;962727666;5300-895
Pedro Miguel Pereira Soares;1009999;2;31-08-1992 00:00;pedro@sal.ipg.pt;952470421;1300-605
Pedro Paulo Leal de Medeiros;1012470;2;06-08-1993 09:36;pedro@hotmail.com;915256570;8200-734
Ricardo Filipe Sanches Gomes;1011038;2;22-06-1998 17:17;ricardo@gmail.com;913476263;6400-835
Ricardo Luís Pereira da Fonseca;1012183;2;02-12-1991 13:26;ricardo@sal.ipg.pt;928846631;1400-418
Ricardo Miguel Alípio Fernandes;1009693;2;19-12-1998 18:14;ricardo@gmail.com;953104419;9800-705
Roberto Machado Adelino;1012539;2;07-06-1990 22:05;roberto@hotmail.com;942024924;8600-693
Rui Alexandre Ramos Rocha;1011277;2;16-04-1996 18:14;rui@gmail.com;951763208;8200-220
Rui Pedro da Fonseca Martins;1010747;2;31-07-1990 10:33;rui@gmail.com;946673381;4900-415
Rui Pedro Ramires Manta;1012396;2;28-03-1995 14:24;rui@gmail.com;941540444;2800-990
Rui Sérgio Paulos Badana;1009664;2;21-09-1998 12:29;rui@sal.ipg.pt;968091509;3200-418
Simão Cardoso Leal Teixeira;1012541;2;20-10-1998 21:07;simão@sal.ipg.pt;932521455;3200-840
Tiago Alexandre Pereira dos Santos;1012045;2;31-05-1994 19:12;tiago@hotmail.com;964099100;6900-585
Tiago Emanuel Rodrigues Oliveira Branco;1010200;2;15-05-1988 22:05;tiago@gmail.com;926719519;5100-594
Tiago Filipe da Costa Lourenço;1012092;2;26-10-1996 18:14;tiago@gmail.com;942833251;7200-811
Tiago Gamboa Cravo dos Santos Lucas;1012397;2;05-06-1993 12:29;tiago@hotmail.com;953132603;9500-403
Tiago José Fernandes Manso;1010548;2;23-05-1987 11:31;tiago@sal.ipg.pt;954070246;8400-166
Tiago Miguel Gonçalves dos Santos;1011709;2;20-02-1990 19:12;tiago@hotmail.com;958472295;8700-287
Vanderley Barreto do Espírito Santo Quaresma;1012331;2;20-02-1989 02:53;vanderley@sal.ipg.pt;949210960;2200-852
Vasco Rafael Lopes de Oliveira;1012542;2;06-09-1995 04:48;vasco@hotmail.com;943824375;7300-182
Vital Pedro Ferreira da Cruz Gonçalves;1011719;2;02-02-1992 21:07;vital@hotmail.com;962773550;6100-551
Vítor Emanuel Sampaio Pereira;1012543;2;07-02-1999 03:50;vítor@hotmail.com;938196440;2600-554
Teste da Silva Teste;00001;01/12/1999;01/12/1999;teste@teste.com.br;968496177;6300758
